FLOW,LEVEL1,LEVEL2,LEVEL3,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,LEVEL
,,Medicare Part D Total,,385218,327937,362941,381361,342932,42000,0,0,0,0,0,2
,Local Receipts Total,,,9409490,8715295,8653173,9238654,10291465,8455000,8505000,8555000,8605000,8655000,8705000,1
REVENUES,From Funds,Stabilization Fund,,0,0,0,0,0,0,0,0,0,0,0,3
,,Stabilization Fund Total,,0,0,0,0,0,0,0,0,0,0,0,2
REVENUES,From Funds,Override Stabilization Fund,,0,0,2742376,1580000,0,0,0,0,463114,2815268,5963685,3
,,Override Stabilization Fund Total,,0,0,2742376,1580000,0,0,0,0,463114,2815268,5963685,2
REVENUES,From Funds,Free Cash,,954736,2191622,1497907,582051,385249,1570000,3411528,1500000,1500000,1500000,1500000,3
,,Free Cash Total,,954736,2191622,1497907,582051,385249,1570000,3411528,1500000,1500000,1500000,1500000,2
REVENUES,From Funds,Muni Building Trust,,20625,20625,20625,112625,20625,20625,20625,20625,20625,20625,20625,3
,,Muni Building Trust Total,,20625,20625,20625,112625,20625,20625,20625,20625,20625,20625,20625,2
REVENUES,From Funds,Tip fee stabilization fund,,680000,680000,680000,880000,450000,400000,164000,0,0,0,0,3
,,Tip fee stabilization fund Total,,680000,680000,680000,880000,450000,400000,164000,0,0,0,0,2
,From Funds Total,,,1655361,2892247,4940908,3154676,855874,1990625,3596153,1520625,1983739,4335893,7484310,1
REVENUES,Other Revenues,Overlay reserve surplus,,500000,500000,500000,500000,200000,200000,200000,200000,200000,200000,200000,3
,,Overlay reserve surplus Total,,500000,500000,500000,500000,200000,200000,200000,200000,200000,200000,200000,2
,Other Revenues Total,,,500000,500000,500000,500000,200000,200000,200000,200000,200000,200000,200000,1


REVENUES Total,,,,102918667,105991091,100871489,102697456,110443078,113900349,120443763,121020030.3,124393552.6,129729481.1,135087975.5,0
