LEVEL1,LEVEL2,LEVEL3,TOOLTIP,SOURCE,SOURCE URL,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,LEVEL
State Aid,Education,Chapter 70,Chapter 70 refers to the school fuding formula created under the Education Reform Act of 1993 by which State Aid is distributed through the Cherry Sheet to help establish educational equity among municipal and regional school districts,Cherry Sheet,http://www.mass.gov/dor/local-officials/municipal-data-and-financial-management/cherry-sheets/,5814120,6229294,6104708,6632057,6880580,8109496,9992259,9888741,9984665,10081548,10179400,3
State Aid,Education,School transportation,,Cherry Sheet,http://www.mass.gov/dor/local-officials/municipal-data-and-financial-management/cherry-sheets/,,,,,,,,,,,,3
State Aid,Education,School construction,,Cherry Sheet,http://www.mass.gov/dor/local-officials/municipal-data-and-financial-management/cherry-sheets/,2546280,2540434,2531085,2531085,2531085,2474796,2474773,2474773,2474773,2474773,1615914,3
State Aid,Education Total,,,,,8360400,8769728,8635793,9163142,9411665,10584292,12467032,12363514,12459438,12556321,11795314,2
State Aid,Education offsets,Racial Equality,,,,0,0,0,0,0,0,0,0,0,0,0,3
State Aid,Education offsets,School Lunch,,,,20794,19261,20783,16604,19545,19029,18819,18624.26007,18804.57482,18987.14351,19171.51534,3
State Aid,Education offsets Total,,,,,20794,19261,20783,16604,19545,19029,18819,18624.26007,18804.57482,18987.14351,19171.51534,2
State Aid,General Government,Unrestricted General Government Aid,Money appropriated from the balance of the State Lottery Fund and additional aid to municipalities,Cherry Sheet,http://www.mass.gov/dor/local-officials/municipal-data-and-financial-management/cherry-sheets/,4491775,4491775,6684280,6416909,5952940,6416909,6416909,6481078.09,6545888.87,6611347.76,6677461.24,3
State Aid,General Government,"Lottery, beano, charity",State aid to municipalities from the State Lotery Fund and other funds - combined with Unrestricted General Government Aid starting FY2010,Cherry Sheet,http://www.mass.gov/dor/local-officials/municipal-data-and-financial-management/cherry-sheets/,4950398,4950398,0,0,0,0,0,0,0,0,0,3
State Aid,General Government,Additional assistance,,Cherry Sheet,http://www.mass.gov/dor/local-officials/municipal-data-and-financial-management/cherry-sheets/,4491775,4491775,0,0,0,0,0,0,0,0,0,3
State Aid,General Government,Highway fund,,Cherry Sheet,http://www.mass.gov/dor/local-officials/municipal-data-and-financial-management/cherry-sheets/,0,0,0,0,0,0,0,0,0,0,0,3
State Aid,General Government,"Exemptions: Vets, Blind Persons & Surviving Spouses","State reimbursement of the costs of providing services for veterans, blind persons and surviving spouses",Cherry Sheet,http://www.mass.gov/dor/local-officials/municipal-data-and-financial-management/cherry-sheets/,117263,111588,187014,190609,188476,178152,167052,165321,166925,168545,170181,3
State Aid,General Government,Exemptions: Elderly,State reimbursement for elderly services,Cherry Sheet,http://www.mass.gov/dor/local-officials/municipal-data-and-financial-management/cherry-sheets/,74296,77308,0,0,0,0,0,0,0,0,0,3
State Aid,General Government Total,,,,,14125507,14122844,6871294,6607518,6141416,6595061,6583961,6646399.09,6712813.87,6779892.76,6847642.24,2
State Aid,Offset receipts,Public Libraries,,,,58270,60716,40707,41943,42540,42109,41747,41315,41715,42120,42529,3
State Aid,Offset receipts,Other offsets,,,,0,0,0,0,0,0,0,0,0,0,0,3
State Aid,Offset receipts Total,,,,,58270,60716,40707,41943,42540,42109,41747,41315,41715,42120,42529,2
State Aid Total,,,,,,22564971,22972549,15568577,15829207,15615166,17240491,19111559,19069852.35,19232771.44,19397320.9,18704656.76,1
Local Receipts,Motor Vehicle Excise,,Revenue derived from collection of motor vehicle excise taxes,,,3951799,3775637,3757149,3898459,3937079,3700000,3750000,3800000,3850000,3900000,3950000,3
Local Receipts,Motor Vehicle Excise Total,,,,,3951799,3775637,3757149,3898459,3937079,3700000,3750000,3800000,3850000,3900000,3950000,2
Local Receipts,Other Excise,,,,,123522,136490,246210,532896,569131,550000,550000,550000,550000,550000,550000,3
Local Receipts,Other Excise Total,,Revenue derived from the meals tax and hotel tax.,,,123522,136490,246210,532896,569131,550000,550000,550000,550000,550000,550000,2
Local Receipts,Tax Penalties & Interest,,,,,186195,172007,267528,338834,252492,185000,200000,200000,200000,200000,200000,3
Local Receipts,Tax Penalties & Interest Total,,,,,186195,172007,267528,338834,252492,185000,200000,200000,200000,200000,200000,2
Local Receipts,PILOT,,"Payments In Lieu of Taxes - Certain organizations, such as schools and non-profit institutions, are exempt from paying some taxes such as property taxes. PILOTs are voluntary payments made to the Town by such groups in recognition that they use Town services but are not obligated to pay certain taxes.",,,23969,10967,6971,0,13973,0,38000,38000,38000,38000,38000,3
Local Receipts,PILOT Total,,,,,23969,10967,6971,0,13973,0,38000,38000,38000,38000,38000,2
Local Receipts,Fees,,"Fees include charges for ambulance fees, parking violations, Town Clerk fees, etc.",,,962064,1172324,1252886,1233678,1262118,1140000,1125000,1125000,1125000,1125000,1125000,3
Local Receipts,Fees Total,,,,,962064,1172324,1252886,1233678,1262118,1140000,1125000,1125000,1125000,1125000,1125000,2
Local Receipts,Rentals,,"The Town derives income from the renting of several Town-owned properties including the Gibbs and Parmenter schools, the Mt. Gilboa house, the former Dallin Library, and former Department buildings at Ryder Street.",,,818604,783593,791045,733270,783144,613000,618000,618000,618000,618000,618000,3
Local Receipts,Rentals Total,,,,,818604,783593,791045,733270,783144,613000,618000,618000,618000,618000,618000,2
Local Receipts,Departmental Revenue - Schools,,,,,186745,209034,135451,254343,198121,150000,150000,150000,150000,150000,150000,3
Local Receipts,Departmental Revenue - Schools Total,,,,,186745,209034,135451,254343,198121,150000,150000,150000,150000,150000,150000,2
Local Receipts,Departmental Revenue - Libraries,,,,,53057,63433,65863,56259,56141,55000,55000,55000,55000,55000,55000,3
Local Receipts,Departmental Revenue - Libraries Total,,,,,53057,63433,65863,56259,56141,55000,55000,55000,55000,55000,55000,2
Local Receipts,Departmental Revenue - Cemetaries,,,,,280400,308350,267675,302075,313997,300000,300000,300000,300000,300000,300000,3
Local Receipts,Departmental Revenue - Cemetaries Total,,,,,280400,308350,267675,302075,313997,300000,300000,300000,300000,300000,300000,2
Local Receipts,Departmental Revenue - Recreation,,,,,0,0,0,0,0,0,0,0,0,0,0,3
Local Receipts,Departmental Revenue - Recreation Total,,,,,0,0,0,0,0,0,0,0,0,0,0,2
Local Receipts,Departmental Revenue - Other,,,,,104031,147586,146119,172603,347128,225000,225000,225000,225000,225000,225000,3
Local Receipts,Departmental Revenue - Other Total,,,,,104031,147586,146119,172603,347128,225000,225000,225000,225000,225000,225000,2
Local Receipts,Licenses & Permits,,"Revenue collected for the issuance of licenses and permits to restaurants, bars, parking, marriage, etc.",,,1247074,1134292,1202871,1219481,2085371,1385000,1384000,1384000,1384000,1384000,1384000,3
Local Receipts,Licenses & Permits Total,,,,,1247074,1134292,1202871,1219481,2085371,1385000,1384000,1384000,1384000,1384000,1384000,2
Local Receipts,Special Assessments,,,,,2112,1659,1410,0,0,0,0,0,0,0,0,3
Local Receipts,Special Assessments Total,,,,,2112,1659,1410,0,0,0,0,0,0,0,0,2
Local Receipts,Fines & Forfeits,,,,,54483,61870,46800,59965,62688,60000,60000,60000,60000,60000,60000,3
Local Receipts,Fines & Forfeits Total,,,,,54483,61870,46800,59965,62688,60000,60000,60000,60000,60000,60000,2
Local Receipts,Investment Income,,,,,1030217,410116,102254,55430,67150,50000,50000,50000,50000,50000,50000,3
Local Receipts,Investment Income Total,,,,,1030217,410116,102254,55430,67150,50000,50000,50000,50000,50000,50000,2
Local Receipts,Medicare Part D,,,,,385218,327937,362941,381361,342932,42000,0,0,0,0,0,3
Local Receipts,Medicare Part D Total,,,,,385218,327937,362941,381361,342932,42000,0,0,0,0,0,2
Local Receipts Total,,,,,,9409490,8715295,8653173,9238654,10291465,8455000,8505000,8555000,8605000,8655000,8705000,1
From Funds,Stabilization Fund,,"In accordance with M.G.L. Ch. 40 S. 5B, the Town may appropriate in any year an amount not exceeding, in the aggregate, 10% of the amount raised in the preceding fiscal year's tax levy.",,,0,0,0,0,0,0,0,0,0,0,0,2
From Funds,Stabilization Fund Total,,,,,0,0,0,0,0,0,0,0,0,0,0,2
From Funds,Override Stabilization Fund,,This Fund was created as a result of the 2005 Proposition 2 1/2 override. The Town makes annual appropriations to the fund until the time in which it is necessary to make withdrawals for the purposes of balancing the general fund budget.,,,0,0,2742376,1580000,0,0,0,0,463114,2815268,5963685,3
From Funds,Override Stabilization Fund Total,,,,,0,0,2742376,1580000,0,0,0,0,463114,2815268,5963685,2
From Funds,Free Cash,,"A revenue source that results from the calculation, as of July 1, of a community's remaining, unrestricted funds from operations of the previous fiscal year, based on the balance sheet as of June 30.",,,954736,2191622,1497907,582051,385249,1570000,3411528,1500000,1500000,1500000,1500000,3
From Funds,Free Cash Total,,,,,954736,2191622,1497907,582051,385249,1570000,3411528,1500000,1500000,1500000,1500000,2
From Funds,Muni Building Trust,,"In accordance with M.G.L. Ch. 40 S. 13, the Town established this fund for the purposes of offsetting the costs associated with significant property loss.",,,20625,20625,20625,112625,20625,20625,20625,20625,20625,20625,20625,3
From Funds,Muni Building Trust Total,,,,,20625,20625,20625,112625,20625,20625,20625,20625,20625,20625,20625,2
From Funds,Tip fee stabilization fund,,"The Town of Arlington participated in a regional solid waste consortium, and upon leaving the consortium in September 2005, the Town was entitled to revenue derived from the regional agreement.",,,680000,680000,680000,880000,450000,400000,164000,0,0,0,0,3
From Funds,Tip fee stabilization fund Total,,,,,680000,680000,680000,880000,450000,400000,164000,0,0,0,0,2
From Funds Total,,,,,,1655361,2892247,4940908,3154676,855874,1990625,3596153,1520625,1983739,4335893,7484310,1
Other Revenues,Overlay reserve surplus,,,,,500000,500000,500000,500000,200000,200000,200000,200000,200000,200000,200000,3
Other Revenues,Overlay reserve surplus Total,,,,,500000,500000,500000,500000,200000,200000,200000,200000,200000,200000,200000,2
Other Revenues Total,,,,,,500000,500000,500000,500000,200000,200000,200000,200000,200000,200000,200000,1
REVENUES TOTAL,,,,,,107410442,110482866,107555769,109114365,116396018,120317258,126860672,127501108.4,130939441.4,136340828.9,141765436.8,0
