LEVEL1,LEVEL2,LEVEL3,TOOLTIP,SOURCE,SOURCE URL,2013,2014,2015,LEVEL
Two,Nineteen,One,,,,574824.25,1333091.59,2634315.92,3
Two,,Nineteen Total,,,,574824.25,1333091.59,2634315.92,2
Two Total,,,,,,157493724.4,68641572.64,88210585.78,1
Three,One,Three,,,,0,1424093.08,7327937.01,3
Three,,Five,,,,0,0,8249911.34,3
Three,,Eleven,,,,0,0,20000000,3
Three,,One Total,,,,0,1424093.08,35577848.35,2
Three,Ten,Two,,,,0,0,0,3
Three,,Ten Total,,,,0,0,0,2
Three,Twelve,Seven,,,,0,0,38000,3
Three,,Twelve Total,,,,0,0,38000,2
Three,Nineteen,One,,,,0,0,50000,3
Three,,Nineteen Total,,,,0,0,50000,2
Three Total,,,,,,0,1424093.08,35665848.35,1
Four,Fifty,Two,,,,16939995.91,17709132.33,11658340.71,3
Four,,Fifty Total,,,,16939995.91,17709132.33,11658340.71,2
Four Total,,,,,,16939995.91,17709132.33,11658340.71,1
Five,Sixty,One,,,,133953378.5,142964424.1,299736526.1,3
Five,,Sixty Total,,,,133953378.5,142964424.1,299736526.1,2
Five Total,,,,,,133953378.5,142964424.1,299736526.1,1
Seven,NinetyNine,One,,,,43463367.41,58832202.56,236735029.6,3
Seven,,NinetyNine Total,,,,43463367.41,58832202.56,236735029.6,2
Seven Total,,,,,,43463367.41,58832202.56,236735029.6,1
Zero,Zero,Zero,,,,0,0,0,3
Zero,,Zero Total,,,,0,0,0,2
Zero Total,,,,,,0,0,0,1
APPROPRIATIONS TOTAL,,,,,,936082010.2,852074241.2,1241014188,0
