Name,Description,
Audit Committee,"A committee appointed by the selectmen, mayor, or city council, with specific responsibility to review a community's independent audit of financial statements and to address all issues relating to it as well as those outlined in the accompanying management letter.",
Audit Management Letter,"An independent auditor's written communication to government officials, separate from the community's audit. It generally identifies areas of deficiency, if any, and presents recommendations for improvements in accounting procedures, internal controls and other matters.",
Audit Report,"Prepared by an independent auditor, an audit report includes: (a) a statement of the scope of the audit; (b) explanatory comments as to application of auditing procedures; (c) findings and opinions; (d) financial statements and schedules; and (e) statistical tables, supplementary comments, and recommendations. It is almost always accompanied by a management letter.",
Available Funds,"Balances in the various fund types that represent non-recurring revenue sources. As a matter of sound practice, they are frequently appropriated to meet unforeseen expenses, for capital expenditures or other onetime costs. Examples of available funds include free cash, stabilization funds, overlay surplus, water surplus, and enterprise net assets unrestricted (formerly retained earnings).",
Balance Sheet,"A statement that discloses the assets, liabilities, reserves, and equities of a fund or governmental unit at a specified date.",
BAN,Bond Anticipation Note,
Bank Qualified,"When a municipality issues $10,000,000 or less in bonds or notes in a calendar year, the bonds and or notes issued are designated as ?bank qualified.? The bank which purchases the security receives a tax deduction (80% of the interest cost) for this type of purchase. This deduction makes bank qualified bonds and notes an attractive purchase.",
Betterments (Special Assessments),"Whenever part of a community benefits from a public improvement, or betterment (e.g., water, sewer, sidewalks, etc.), special property taxes may be assessed to the property owners of that area to reimburse the governmental entity for all, or part, of the costs it incurred in completing the project. Each property parcel receiving the benefit is assessed a proportionate share of the cost which may be paid in full, or apportioned over a period of up to 20 years. In this case, one year?s apportionment along with one year?s committed interest computed from October 1 to October 1 is added to the tax bill until the betterment has been paid.",
BLA,Bureau of Local Assessment,
Block Grant,A Block Grant is a Federal grant of money awarded by formula under very general guidelines that allow grantees broad latitude in spending activities. Recipients are normally state or local governments.,
BMFL,Bureau of Municipal Finance Law,
BOA,Bureau of Accounts,
Boat Excise,"In accordance with MGL Chapter 60B, this is an amount levied on boats and ships in lieu of a personal property tax for the privilege of using the Commonwealth?s waterways. Assessed annually as of July 1, the excise is paid to the community where the boat or ship is usually moored or docked.",
Bond,"A means to raise money through the issuance of debt. A bond issuer/borrower promises in writing to repay a specified sum of money, alternately referred to as face value, par value or bond principal, to the buyer of the bond on a specified future date (maturity date), together with periodic interest at a specified rate. The term of a bond is always greater than one year. (See Note)",
Bond and Interest Record (Bond Register),The permanent and complete record maintained by a treasurer for each bond issue. It shows the amount of interest and principal coming due each date and all other pertinent information concerning the bond issue. (See Debt Statement),
Bond Anticipation Note (BAN),"Short-term debt instrument used to generate cash for initial project costs and with the expectation that the debt will be replaced later by permanent bonding. Typically issued for a term of less than one year, BANs may be re-issued for up to five years, provided principal repayment begins after two years (MGL Ch. 44 ?17). Principal payments on school related BANs may be deferred up to seven years (increased in 2002 from five years) if the community has an approved project on the Massachusetts School Building Authority (MSBA) priority list. BANs are full faith and credit obligations.",
Bond Authorization,"The action of town meeting or a city council authorizing the executive branch to raise money through the sale of bonds in a specific amount and for a specific purpose. Once authorized, issuance is by the treasurer upon the signature of the mayor, or selectmen. (See Bond Issue)",
Bond Buyer,A daily trade paper containing current and historical information of interest to the municipal bond business.,
Bond Counsel,An attorney or law firm engaged to review and submit an opinion on the legal aspects of a municipal bond or note issue.,
Bond Issue,"The actual sale of the entire, or a portion of, the bond amount authorized by a town meeting or city council.",
Bond Premium,"The difference between the market price of a bond and its face value (when the market price is higher). A premium will occur when the bond?s stated interest rate is set higher than the true interest cost (the market rate). Additions to the levy limit for a Proposition 2 « debt exclusion are restricted to the true interest cost incurred to finance the excluded project. Premiums received at the time of sale must be offset against the stated interest cost in computing the debt exclusion. If receipt of the premium and the payment of interest at maturity of an excluded debt occur in different fiscal years, reservation of the premium for future year?s debt service is required at the end of the fiscal year when the premium was received. (See DOR Bulletin 2003-20B)",
Bond Rating (Municipal),"A credit rating assigned to a municipality to help investors assess the future ability, legal obligation, and willingness of the municipality (bond issuer) to make timely debt service payments. Stated otherwise, a rating helps prospective investors determine the level of risk associated with a given fixed-income investment. Rating agencies, such as Moody's and Standard and Poors, use rating systems, which designate a letter or a combination of letters and numerals where AAA is the highest rating and C1 is a very low rating.",
Bonds Authorized and Unissued,"Balance of a bond authorization not yet sold. Upon completion or abandonment of a project, any remaining balance of authorized and unissued bonds may not be used for other purposes, but must be rescinded by town meeting or the city council to be removed from community's books.",
Budget,"A plan for allocating resources to support particular services, purposes and functions over a specified period of time. (See Level Funded Budget, Performance Budget, Program Budget, Zero Based Budget)",
Budget Message,"A statement that, among other things, offers context by summarizing the main points of a budget, explains priorities, describes underlying policies that drive funding decisions, and otherwise justifies the expenditure plan and provides a vision for the future.",
Budget Unit,A board or department to which the municipality?s legislative body appropriates funds.,
Bulk Sale of Tax Receivables,A community may make bulk assignments of its delinquent property tax receivables and liens (MGL Ch. 60 ?2C) to third parties. DLS recommends that municipal officers discuss whether to use this authority and what receivables would be assigned. (See DOR IGR 05- 208),
Bureau of Accounts (BOA),"A bureau within the State Division of Local Services charged with overseeing municipal execution of financial management laws, rules and regulations.",
Bureau of Information Technology (IT),"A bureau within the State Division of Local Services charged with enhancing the flow of information between DLS and communities, maintaining DLS? Internet site, and providing training, support, and consulting services to communities using the DOR Computer Assisted Mass Appraisal (CAMA) and Tax Administration System.",
Bureau of Local Assessment (BLA),"A bureau within the State Division of Local Services charged with overseeing municipal execution of state laws, rules and regulations involving real and personal property assessments. BLA is also responsible for determining equalized valuations and overseeing the valuation of state owned land.",
Bureau of Municipal Finance Law (BMFL; formerly Property Tax Bureau),"A bureau within the State Division of Local Services charged with providing legal advice to local officials on municipal finance or tax issues, legal opinions to communities, periodic Legislative Bulletins summarizing recent legislation affecting property taxation and municipal finance, and Informational Guideline Releases (IGRs) detailing municipal tax and financial procedures.",
Business-Type Activities,"One of two classes of activities reported in the GASB 34 government-wide financial statements. These activities are financed in whole or in part by fees charged to users for goods or services. Some examples are enterprise (MGL Chapter 44 ?53F«) , special revenue (MGL Ch. 44 ?69B) water, and municipal electric fund.",
Capital Assets,"All tangible property used in the operation of government, which is not easily converted into cash, and has an initial useful live extending beyond a single financial reporting period. Capital assets include land and land improvements; infrastructure such as roads, bridges, water and sewer lines; easements; buildings and building improvements; vehicles, machinery and equipment. Communities typically define capital assets in terms of a minimum useful life and a minimum initial cost. (See Fixed Asset)",
Capital Budget,"An appropriation or spending plan that uses borrowing or direct outlay for capital or fixed asset improvements. Among other information, a capital budget should identify the method of financing each recommended expenditure, i.e., tax levy or rates, and identify those items that were not recommended. (See Capital Asset, Fixed Asset)",
Capital Improvements Program,"A blueprint for planning a community's capital expenditures that comprises an annual capital budget and a five-year capital program. It coordinates community planning, fiscal capacity and physical development. While all of the community?s needs should be identified in the program, there is a set of criteria that prioritizes the expenditures.",
Capital Outlay,"The exchange of one asset (cash) for another (capital asset), with no ultimate effect on net assets. Also known as ""pay as you go,"" it is the appropriation and use of available cash to fund a capital improvement, as opposed to incurring debt to cover the cost.",
Capital Outlay Expenditure Exclusion,A temporary increase in the tax levy to fund a capital project or make a capital acquisition. Exclusions require two-thirds vote of the selectmen or city council (sometimes with the mayor's approval) and a majority vote in a community-wide referendum. The exclusion is added to the tax levy only during the year in which the project is being funded and may increase the tax levy above the levy ceiling.,
Capital Projects Fund,Fund type used to account for financial resources to be used for the acquisition or construction of major capital facilities (other than those financed by proprietary funds).,
Cash,"Currency, coin, checks and bankers' drafts on hand or on deposit with an official or agent designated as custodian of cash and bank deposits.",
Cash Book,"A source book of original entry, which a treasurer is required to maintain, for the purpose of recording municipal receipts, adjustments to balances, deposits to municipal accounts and disbursements through warrants.",
Cash Management,The process of monitoring the ebb and flow of money in an out of municipal accounts to ensure cash availability to pay bills and to facilitate decisions on the need for short-term borrowing and investment of idle cash.,
Cash Receipts,"Any money received by a municipality or its departments whether by cash, check or electronic transfer.",
Categorical Grant,"A type of intergovernmental payment, which is characterized by extensive restrictions on the uses to which the funds may be ?spent? by the recipient government.",
CD,Certificate of Deposit,
Cemetery Perpetual Care,"Funds donated by individuals for the care of gravesites. According to MGL Ch. 114 ?25, funds from this account must be invested and spent as directed by perpetual care agreements. If no agreements exist, the interest (but not principal) may be used as directed by the cemetery commissioners for the purpose of maintaining cemeteries.",
Certificate of Deposit (CD),"A bank deposit evidenced by a negotiable or non-negotiable instrument that provides on its face that the amount of such deposit, plus a specified interest, is payable to the bearer or to any specified person on a certain date specified in the instrument, at the expiration of a certain specified time, or upon notice in writing.",
Certification,"Verification of authenticity. Can refer to the action of a bank, trust company, or DOR?s Bureau of Accounts (BOA) in the issuance of State House Notes, to confirm the genuineness of the municipal signatures and seal on bond issues. The certifying agency may also supervise the printing of bonds and otherwise safeguard their preparation against fraud, counterfeiting, or over- issue. Also refers to the certification by the Bureau of Local Assessment (BLA) that a community?s assessed values represent full and fair cash value (FFCV). (See Triennial Revaluation)",
Chapter 70 School Aid,Chapter 70 refers to the school funding formula created under the Education Reform Act of 1993 by which state aid is distributed through the Cherry Sheet to help establish educational equity among municipal and regional school districts.,
Chapter 90 Highway Funds,"State funds derived from periodic transportation bond authorizations and apportioned to communities for highway projects based on a formula under the provisions of MGL Ch. 90 ?34. The Chapter 90 formula comprises three variables: local road mileage (58.33 percent) as certified by the Massachusetts Highway Department (MHD), local employment level (20.83 percent) derived the Department of Employment and Training (DET), and population estimates (20.83 percent) from the US Census Bureau. Local highway projects are approved in advance. Later, on the submission of certified expenditure reports to MHD, communities receive cost reimbursements to the limit of the grant.",
Chapter Land,"Forest, agricultural/horticultural, and recreational lands classified, valued and taxed according to MGL Chapters 61, 61A, and 61B. Land is valued at its current use rather than the full and fair cash value. The commercial property tax rate is applicable for land defined under these chapters, unless the community adopts a local option provision within each chapter to apply the open space rate.",
Cherry Sheet,"Named for the cherry colored paper on which they were originally printed, the Cherry Sheet is the official notification to cities, towns and regional school districts of the next fiscal year?s state aid and assessments. The aid is in the form of distributions, which provide funds based on formulas and reimbursements that provide funds for costs incurred during a prior period for certain programs or services. Links to the Cherry Sheets are located on the DLS website at www.mass.gov/dls. (See Cherry Sheet Assessments, Estimated Receipts)",
Cherry Sheet Assessments,Estimates of annual charges to cover the cost of certain state and county programs.,
Cherry Sheet Offset Items,"Local aid that may be spent without appropriation in the budget, but which must be spent for specific municipal and regional school district programs. Current offset items include racial equality grants, school lunch grants, and public libraries grants. (See Offset Receipts)",
CIP,"Can refer to an abbreviation for Commercial, Industrial, and Personal properties by the Bureau of Local Assessment (BLA). It also can refer to Capital Improvements Program.",
Classification of Real Property,"Assessors are required to classify all real property according to use into one of four classes: Residential, Open Space, Commercial, and Industrial. Having classified its real property, local officials are permitted to determine locally, within limits established by statute and the Commissioner of Revenue, what percentage of the tax burden is to be borne by each class of real property and by personal property owners. (See Classification of the Tax Rate)",
Classification of the Tax Rate,"Each year, the selectmen or city council vote whether to exercise certain tax rate options. Those options include choosing a residential factor (MGL Ch. 40 ?56), and determining whether to offer an open space discount, a residential exemption (Ch. 59, ?5C), and/or a small commercial exemption (Ch. 59, ?5I) to property owners.",
CMR,Code of Massachusetts Regulations,
Code of Ethics,The provisions and requirements of MGL Ch. 286A pertaining to the standards of behavior and conduct to which all public officials and employees are held. (See State Ethics Commission),
COLA,Cost of Living Adjustment,
Collective Bargaining,"The process of negotiating workers' wages, hours, benefits, working conditions, etc., between an employer and some or all of its employees, who are represented by a recognized labor union.",
Commitment,"This establishes the liability for individual taxpayers. For example, the assessors' commitment of real estate taxes fixes the amount that the collector will bill and collect from property owners.",
Community Preservation Act (CPA),"Enacted as MGL Ch. 44B in 2000, CPA permits cities and towns accepting its provisions to establish a restricted fund from which monies can be appropriated only for a) the acquisition, creation and preservation of open space; b) the acquisition, preservation, rehabilitation, and restoration of historic resources; and c) the acquisition, creation and preservation of land for recreational use; d) the creation, preservation and support of community housing; and e) the rehabilitation and restoration of open space, land for recreational use and community housing that is acquired or created using monies from the fund. Acceptance requires town meeting or city council approval or a citizen petition, together with referendum approval by majority vote. The local program is funded by a local surcharge up to 3 percent on real property tax bills and matching dollars from the state generated from registry of deeds fees. (See DOR IGR 00-209 as amended by IGR 01-207 and IGR 02-208)",
Community Preservation Fund,"A special revenue fund established pursuant to MGL Ch. 44B to receive all monies collected to support a community preservation program, including but not limited to, tax surcharge receipts, proceeds from borrowings, funds received from the Commonwealth, and proceeds from the sale of certain real estate.",
Compensated Absences,"Time off, with pay, made available to employees for vacation leave, sick leave, and similar benefits. For financial reporting purposes, compensated absences are strictly limited to leave that is attributable to services already rendered, and is not contingent on a specific event (such as illness) that is outside the control of the employer and employee.",
Compensating Balance Agreement,"An alternative to the payment of direct fees for banking services. In this case, a bank specifies a minimum balance that the municipality must maintain in non- interest bearing accounts. The bank can then lend this money (subject to a reserve requirement) and earn interest, which will at least cover the cost of services provided to the municipality. Compensating balance agreements are permitted under MGL Ch. 44 ?53F and must be approved annually by town meeting or the city council.",
Computer Assisted Mass Appraisal (CAMA),"An automated system for maintaining property data, valuing property, notifying owners, and ensuring tax equity through uniform valuations.",
Conservation Fund,A city or town may appropriate money to a conservation fund. This money may be expended by the conservation commission for lawful conservation purposes as described in MGL Ch. 40 ?8C. The money may also be expended by the conservation commission for damages arising from an eminent domain taking provided that the taking was approved by a two- thirds vote of city council or town meeting.,
Consumer Price Index (CPI),"The statistical measure of changes, if any, in the overall price level of consumer goods and services. The index is often called the ""cost-of-living index.""",
Contingent Appropriation,"An appropriation that authorizes spending for a particular purpose only if subsequently approved in a voter referendum. Under MGL Ch. 59 ?21C (m), towns may make appropriations from the tax levy, available funds or borrowing, contingent upon the subsequent passage of a Proposition 2« override or exclusion question for the same purpose. If initially approved at an annual town meeting, voter approval of the contingent appropriation must occur by September 15. Otherwise, the referendum vote must occur within 90 days after the town meeting dissolves. The question may be placed before the voters at more than one election, but if not approved by the applicable deadline, the appropriation is null and void. If contingent appropriations are funded through property taxes, DOR cannot approve the tax rate until the related override or exclusion question is resolved or the deadline passes, whichever occurs first.",
Contingent Debt,"Debt that is not in the first instance payable as a direct obligation of the governmental unit, but has been guaranteed by a pledge of its faith and credit. The obligation to pay by the guarantor arises upon the default of the borrower. An industrial revenue bond guaranteed by a municipality would constitute contingent debt.",
Contingent Liabilities,"Items that may become liabilities as a result of conditions undetermined at a given date, such as guarantees, pending law suits, judgments under appeal, unsettled disputed claims, unfilled purchase orders, and uncompleted contracts.",
Control Board,(See Finance Control Board),
Corporations Book (Corp. Book),"Annually updated and published on the Internet, the Corp Book provides a listing of domestic and foreign corporations doing business in Massachusetts as of January 1 and which are subject to a tax or excise under MGL Chap. 59 (local property tax), 60A (motor vehicle excise), or 63 (corporation excises). The listing provides information primarily to assessors about the taxable status of businesses located within their community. Links to the Corp. Book are located on the DLS website at www.mass.gov/dls.",
Cost Approach,"A method used to estimate the present market value of an existing property by calculating the current cost to rebuild it, then adjusting the cost downward for depreciation based on the property's actual age. Land is valued separately and added to the depreciated replacement cost.",
Cost of Living Adjustment (COLA),"It is often used in municipal contracts that provide for annual or periodic increases in salaries and wages for employees over the course of the contract. The amount of an increase is most often negotiated based on a community's ability to pay, but is sometimes tied to the annual change in a specified index, i.e., consumer price index (CPI). In Massachusetts, it is also used in the Optional Cost of Living Adjustment for Property Exemptions.",
Cost-Benefit Analysis,A decision-making tool that allows a comparison of options based on the level of benefit derived and the cost to achieve the benefit from different alternatives.,
CPI,Consumer Price Index,
Current Refunding of Debt,"When the proceeds of the refunding debt are applied immediately to redeem the old debt. That is, the maturity date on the old debt coincides with the issuance date of the new borrowing obligation. (See Refunding and Advance Refunding of Debt)",
Cyclical Inspection Program,"A cyclical reinspection program involves completing an interior and exterior inspection of all property over a multi-year period, not exceeding nine years.",
Data Collection,"Process of inspecting real and personal property and recording its attributes, quality, and condition.",
Debt Authorization,"Formal approval by a two- thirds vote of town meeting or city council to incur debt, in accordance with procedures stated in MGL Ch. 44 ??1, 2, 3, 4a, 6-15.",
Debt Burden,"The amount of debt carried by an issuer usually expressed as a measure of value (i.e., debt as a percentage of assessed value, debt per capita, etc.). Sometimes debt burden refers to debt service costs as a percentage of the total annual budget.",
Debt Exclusion,"An action taken by a community through a referendum vote to raise the funds necessary to pay debt service costs for a particular project from the property tax levy, but outside the limits under Proposition 2«. By approving a debt exclusion, a community calculates its annual levy limit under Proposition 2«, then adds the excluded debt service cost. The amount is added to the levy limit for the life of the debt only and may increase the levy above the levy ceiling.",
Debt Limit,"The maximum amount of debt that a municipality may authorize for qualified purposes under state law. Under MGL Ch. 44 ?10, debt limits are set at 5 percent of EQV. By petition to the Municipal Finance Oversight Board, cities and towns can receive approval to increase their debt limit to 10 percent of EQV.",
Debt Policy,Part of an overall capital financing policy that provides evidence of a commitment to meet infrastructure needs through a planned program of future financing. Debt policies should be submitted to elected officials for consideration and approval.,
Debt Service,"The repayment cost, usually stated in annual terms and based on an amortization schedule, of the principal and interest on any particular bond issue.",
Debt Service Fund,"Governmental fund type used to account for the accumulation or resources for, and the payment of, general long-term debt principal and interest. In Massachusetts, these are only allowed by special legislation.",
Debt Statement,"Reference to a report, which local treasurers are required to file with the DOR, showing authorized and issued debt, debt retired and interest paid by a community during the prior fiscal year, as well as authorized but unissued debt at year-end. Also known as the ""Statement of Indebtedness.""",
Deferred Revenue,"Amounts that do not meet the criteria for revenue recognition. Also, earned amounts that are not yet available to liquidate liabilities of a current period.",
Deficit,The excess of expenditures over revenues during an accounting period. Also refers to the excess of the liabilities of a fund over its assets.,
Deficit Bonds,Long-term borrowing vehicle intended to fund operating deficits and available to cities and towns only through special legislation.,
Demand Letter,"Notice to a delinquent taxpayer of overdue taxes or charges typically mailed soon after payment period has ended. While it is a courtesy, there is no requirement to issue correspondence of this type.",
Demand Notice,"When a tax bill becomes past due, the collector sends a demand notice requesting payment. The collector is required to issue a demand before initiating a tax taking.",
Deputy Collector,"If 14 days after the mailing of a demand payment is not received, the collector may issue warrants to one or more deputy collectors authorizing them to collect delinquent taxes, commonly motor vehicle excise. For outstanding excise, the deputy may mark licenses/registrations or provide evidence (e.g., death absence, poverty, insolvency or other inability of the persons assessed to pay) that the accounts are uncollectable. All amounts collected by the deputy collector should be deposited to a municipal bank account from which the deputy may be paid his compensation by check signed by the collector once the tax payments have cleared (MGL Ch. 60 ?92). However, if a community requires all receipts be paid over to the treasurer, the deputy collector must be paid through the warrant process. (See DOR IGR 90-219)",
Designated Unreserved Fund Balance,A limitation on the use of all or part of the expendable balance in a governmental fund.,
DLS,Division of Local Service,
DOR,Department of Revenue,
Education Reform Act of 1993,"State law that authorized the seven-year, Ch. 70 funding program for education and that established spending targets for school districts as a means to remedy educational inequities. Scheduled to end by FY00, the program has been extended, pending agreement on further reforms.",
Electronic Transfer,"The electronic transmission of payments from one bank to another through a wire system, used in lieu of checks. (See Wire Transfer)",
Emergency Board,"A board authorized by MGL Ch. 44 ?8 (9) to review and approve emergency loan requests of municipalities. As used in this clause, emergency means a sudden, unavoidable event(s) that could not have been reasonably foreseen or anticipated at the time of submission of the annual budget for approval.",
Emergency Finance Board (EFB),"This board was abolished July 31, 2003. (See Municipal Finance Oversight Board)",
Emergency Spending,"MGL Ch. 44 ?31 allows a community to spend in excess of appropriation in cases of major disasters that pose an immediate threat to the health or safety of persons or property, following the emergency declaration by council or selectmen and the approval of the Director of Accounts.",
Eminent Domain,The power of a government to take property for public purposes. Frequently used to obtain real property that cannot be purchased from owners in a voluntary transaction. Property owner receives fair compensation (market value at the time of the taking) as determined through court proceedings.,
Encumbrance,"A reservation of funds to cover obligations arising from purchase orders, contracts, or salary commitments that is chargeable to, but not yet paid from, a specific appropriation account.",
End User,The person or persons for whom a particular hardware device or software application was designed to be used.,
Enterprise Fund,"An enterprise fund, authorized by MGL Ch. 44 ?53F«, is a separate accounting and financial reporting mechanism for municipal services for which a fee is charged in exchange for goods or services. It allows a community to demonstrate to the public the portion of total costs of a service that is recovered through user charges and the portion that is subsidized by the tax levy, if any. With an enterprise fund, all costs of service delivery--direct, indirect, and capital costs--are identified. This allows the community to recover total service costs through user fees if it chooses. Enterprise accounting also enables communities to reserve the ""surplus"" or net assets unrestricted generated by the operation of the enterprise rather than closing it out to the general fund at year-end. Services that may be treated as enterprises include, but are not limited to, water, sewer, hospital, and airport services. See DOR IGR 08-101",
Equalized Valuations (EQVs),"The determination of an estimate of the full and fair cash value (FFCV) of all property in the Commonwealth as of a certain taxable date. EQVs have historically been used as a variable in distributing some state aid accounts and for determining county assessments and other costs. The Commissioner of Revenue, in accordance with MGL Ch. 58 ?10C, is charged with the responsibility of biannually determining an equalized valuation for each city and town in the Commonwealth.",
ESE,"Department of Elementary & Secondary Education (formerly Department of Education, DOE)",
Estimated Receipts,A term that typically refers to anticipated local revenues listed on page three of the Tax Recapitulation Sheet. Projections of local revenues are often based on the previous year's receipts and represent funding sources necessary to support a community's annual budget. (See Local Receipts),
Excess and Deficiency (E&D),"Also called the ""surplus revenue"" account, this is the amount by which cash, accounts receivable, and other assets exceed a regional school district?s liabilities and reserves as certified by the Director of Accounts. The calculation is based on a year-end balance sheet, which is submitted to DOR by the district?s auditor, accountant, or comptroller as of June 30. The regional school committee must apply certified amounts exceeding five percent of the district?s prior year operating and capital costs to reduce the assessment on member cities and towns. Important: E&D is not available for appropriation until certified by the Director of Accounts.",
Excess Levy Capacity,"The difference between the levy limit and the amount of real and personal property taxes actually levied in a given year. Annually, the board of selectmen or city council must be informed of excess levy capacity and their acknowledgment must be submitted to DOR when setting the tax rate.",
Exemption,"A discharge, established by statute, from the obligation to pay all or a portion of a property tax. The exemption is available to particular categories of property or persons upon the timely submission and approval of an application to the assessors. Properties exempt from taxation include hospitals, schools, houses of worship, and cultural institutions. Persons who may qualify for exemptions include disabled veterans, blind individuals, surviving spouses, and seniors.",
Exemption Date,Exemption status is determined as of July 1. All qualifying factors must be met as of that date.,
Expenditure,An outlay of money made by municipalities to provide the programs and services within their approved budget.,
Expense,An identified cost incurred to accomplish a particular goal.,
Fair Market Value,(See Full and Fair Cash Value),
Federal Aid Anticipation Note (FAAN),"Short- term debt instrument used to generate cash with the expectation that the debt will be paid from anticipated federal aid. As a note, FAANS are typically issued for a term of less than one year and are full faith and credit obligations.",
FFCV,Full and Fair Cash Value,
Fiduciary Funds,"Repository of money held by a municipality in a trustee capacity or as an agent for individuals, private organizations, other governmental units, and other funds. These include pension (and other employee benefit) trust funds, investment trust funds, private-purpose trust funds, and agency funds.",
Field Review Audit,A review of assessment valuation methods and support documentation by the BLA performed as a prerequisite to a triennial certification of property values.,
Finance Control Board,"A board created by special legislation and comprised of state officials to oversee the financial management of a community, which may have received deficit borrowing authorization or state loans to finance operating deficits.",
Financial Advisor,An individual or institution that assists municipalities in the issuance of tax exempt bonds and notes. The public finance department of a commercial bank or a non-bank advisor usually provides this service.,
Financial Disclosure Law,"MGL Chapter 268B requires certain individuals, officials and candidates for elected office to file statements of financial interests (SFI) with the State Ethics Commission.",
Financial Management Review,"At the request of the chief executive officer(s) of a community, DLS will assemble a consulting team to study a municipality's financial operations and condition to determine its strengths and weaknesses. Additional information on this and other consulting services may be found on the DLS website at www.mass.gov/dls. (See Municipal Data Management and Technical Assistance Bureau)",
Financial Statement,A presentation of the assets and liabilities of a community as of a particular date and most often prepared after the close of the fiscal year.,
Fiscal Year (FY),"Since 1974, the Commonwealth and municipalities have operated on a budget cycle that begins July 1 and ends June 30. The designation of the fiscal year is that of the calendar year in which the fiscal year ends. Since 1976, the federal government fiscal year has begun on October 1 and ended September 30.",
Fixed Assets,"Long-lived, tangible assets such as buildings, equipment and land obtained or controlled as a result of past transactions or circumstances.",
